slug,title,stepNumber,chars,words,instruction
orange-mint-cooler-orta-dogu-usulu,"Orange Mint Cooler",2,12,2,"Buz ekleyin."
pineapple-rum-fizz-kuba-usulu,"Küba Pineapple Rum Fizz",2,13,2,"Buzu ekleyin."
pisco-zencefil-fizz-peru-usulu,"Peru Pisco Zencefil Fizz",2,13,2,"Buzu ekleyin."
mango-lime-soda-vietnam-usulu,"Vietnam Mango Lime Soda",2,13,2,"Buzu ekleyin."
passionfruit-pisco-spritz-peru-usulu,"Peru Passionfruit Pisco Spritz",2,13,2,"Buzu ekleyin."
guava-rum-cooler-kuba-usulu,"Küba Guava Rum Cooler",2,13,2,"Buzu ekleyin."
lime-bitters-spritz-avustralya-usulu,"Avustralya Lime Bitters Spritz",2,13,2,"Buzu ekleyin."
kizilcikli-cay-serbeti-elazig-usulu,"Kızılcıklı Çay Şerbeti",1,13,2,"Çayı soğutun."
kestaneli-hamsi-pilavi-zonguldak-usulu,"Kestaneli Hamsi Pilavı",1,15,2,"Soğanı kavurun."
leche-merengada-ispanya-usulu,"Leche Merengada",2,16,2,"İçeceği soğutun."
limonana,"Limonana",2,16,3,"20 saniye çekin."
peynirli-manyok-kase-brezilya-usulu,"Peynirli Manyok Kase",2,16,2,"Peyniri ekleyin."
armutlu-zencefil-smoothie,"Armutlu Zencefil Smoothie",1,16,2,"Armudu doğrayın."
elderflower-elma-fizz-ingiltere-usulu,"Elderflower Elma Fizz",2,17,2,"Sıvıları ekleyin."
erzsebet-sour-macar-usulu,"Erzsebet Sour",2,17,2,"Sıvıları ekleyin."
ananasli-hindistan-cevizi-smoothie,"Ananaslı Hindistan Cevizi Smoothie",1,17,2,"Ananası doğrayın."
kompot-z-suszu-polonya-kis-usulu,"Kompot z Suszu",3,17,3,"Ilık servis edin."
karabuk-cevizli-kesli-yayim,"Karabük Cevizli Keşli Yayım",4,17,3,"Cevizi iri dövün."
tahinli-incir-muhallebisi-adana-usulu,"Tahinli İncir Muhallebisi",5,18,3,"30 dakika soğutun."
lemon-myrtle-iced-tea-avustralya-usulu,"Lemon Myrtle Iced Tea",3,18,3,"Buzla servis edin."
limonata-cremosa-italyan-usulu,"Limonata Cremosa",3,18,3,"Buzla servis edin."
ayran,"Ayran",3,18,3,"Soğuk servis edin."
