slug,title_tr,description_tr,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients_tr,ingredient_count,steps_tr,step_count,allergens,tags,tipNote_tr,servingSuggestion_tr,en_title_current,en_description_current,en_tipNote_current,en_servingSuggestion_current,en_ingredients_present,en_steps_present,de_title_current,de_description_current,de_tipNote_current,de_servingSuggestion_current,de_ingredients_present,de_steps_present
icli-tava-sinop-usulu,Sinop İçli Tava,"Sinop içli tava, hamsiyi mısır unu ve ince soğan yatağıyla fırınlayarak kıyı sofralarına çıtır üstlü, sulu ve limonlu bir balık yemeği taşır.",YEMEK,tr,MEDIUM,20,22,42,4,268,Hamsi 700 gr | Kuru soğan 2 adet | Mısır unu 0.5 su bardağı | Zeytinyağı 3 yemek kaşığı | Limon 1 adet | Tuz 1 çay kaşığı,6,"1. Hamsileri ayıklayıp yıkayın, tuzlayın ve mısır ununa hafifçe bulayın. || 2. Soğanları ince doğrayıp yağlanmış fırın kabına yayın, üstüne hamsileri dizin. || 3. Üzerine zeytinyağı gezdirip 200°C fırında 22 dakika pişirin, limonla servis edin.",3,DENIZ_URUNLERI,"yuksek-protein,misafir-sofrasi",Hamsileri tek sıra dizmek fırında üst yüzeyin daha eşit kızarmasını sağlar.,Yanına ince doğranmış soğan ve limon koyarak sıcak servis edin.,Sinop Icli Tava,"Sinop Icli Tava layers anchovy with onion and cornmeal, then bakes it into a Black Sea fish dish with crisp edges, juicy flesh, and bright lemon lift.",,,0,0,Sinop Icli Tava,"Sinop Icli Tava schichtet Sardellen mit Zwiebel und Maismehl und bäckt daraus ein Schwarzmeergericht mit knusprigen Rändern, saftigem Inneren und frischer Zitrone.",,,0,0
melocan-kavurmasi-ordu-usulu,Ordu Melocan Kavurması,"Ordu melocan kavurması, yabani melocanı soğan ve mısır unu ile tavada çevirerek Karadeniz'e otsu, diri ve sade bir yayla tabağı kazandırır.",YEMEK,tr,EASY,15,14,29,4,132,Melocan otu 500 gr | Kuru soğan 1 adet | Mısır unu 2 yemek kaşığı | Zeytinyağı 2 yemek kaşığı | Tuz 0.75 çay kaşığı,5,"1. Melocanı temizleyip 5 dakika haşlayın ve suyunu sıkın. || 2. Soğanı zeytinyağında 4 dakika çevirin, melocanı tavaya ekleyin. || 3. Mısır unu ve tuzu katıp 5 dakika daha kavurarak servis edin.",3,,"butce-dostu,yaz-tarifi,vegan",Melocanı haşladıktan sonra suyunu iyi süzmek tavada sulanmayı azaltır.,Yanına mısır ekmeği koyarak ılık servis edin.,Ordu Melocan Saute,"This Ordu saute cooks wild melocan greens with onion and cornmeal, making a Black Sea plate that feels herbal, lively, and plainly comforting.",,,0,0,Ordu-Melocan-Pfanne,"Diese Pfanne aus Ordu gart wilde Melocan-Kräuter mit Zwiebel und Maismehl zu einem Schwarzmeer-Teller, der kräutrig, lebendig und schlicht tröstlich wirkt.",,,0,0
kayisava-trabzon-usulu,Trabzon Kayısava,"Trabzon kayısava, tereyağında renklenen un ve pekmezi buluşturarak Karadeniz sofralarına sıcak, akışkan ve derin kavruk aromalı bir tatlı çıkarır.",TATLI,tr,EASY,8,12,20,4,214,Un 0.5 su bardağı | Tereyağı 50 gr | Pekmez 0.5 su bardağı | Su 1.5 su bardağı | Ceviz 0.25 su bardağı,5,"1. Tereyağını tavada eritip unu 4 dakika boyunca kokusu çıkana kadar kavurun. || 2. Pekmez ve suyu çırparak ekleyin, karışımı koyulaşana kadar pişirin. || 3. Kayısavayı kaselere paylaştırıp cevizle servis edin.",3,"GLUTEN,SUT,KUSUYEMIS","30-dakika-alti,kis-tarifi,vejetaryen",Unun fındık kokusu alması kayısavanın kavruk tadını belirginleştirir.,Üzerine ceviz serpip ılık servis edin.,Trabzon Kayisava,"Trabzon Kayisava combines butter browned flour with molasses, creating a warm spoon dessert with flowing texture and deep roasted aroma from the Black Sea table.",,,0,0,Trabzon Kayisava,Trabzon Kayisava verbindet in Butter geröstetes Mehl mit Pekmez und ergibt eine warme Löffelsüßspeise mit fließender Textur und tiefem Röstaroma vom Schwarzmeer-Tisch.,,,0,0
fasulye-diblesi-trabzon-usulu,Trabzon Fasulye Diblesi,"Trabzon fasulye diblesi, taze fasulyeyi pirinç ve dereotuyla tencerede demleyerek Karadeniz mutfağına tane tane, yeşil ve hafif bir yaz yemeği bırakır.",YEMEK,tr,EASY,18,24,42,4,176,Taze fasulye 600 gr | Pirinç 0.5 su bardağı | Kuru soğan 1 adet | Dereotu 0.25 demet | Zeytinyağı 2 yemek kaşığı | Tuz 1 çay kaşığı,6,"1. Fasulyeleri kılçıklarından ayırıp küçük parçalar halinde doğrayın. || 2. Soğanı yağda 4 dakika çevirin, fasulye ve pirinci ekleyin. || 3. 1.5 su bardağı su ve tuzu katıp tencereyi 20 dakika pişirin, dereotuyla dinlendirip servis edin.",3,,"vegan,yaz-tarifi,tek-tencere",Fasulyeyi kısa tutmak diblede diri ve parlak bir sonuç verir.,Yanına cacık koyarak ılık servis edin.,Trabzon Green Bean Dible,"This Trabzon dible steams fresh beans with rice and dill, leaving the Black Sea table a light summer dish with green aroma and distinct grains.",,,0,0,Trabzon-Bohnen-Dible,Dieses Dible aus Trabzon dämpft grüne Bohnen mit Reis und Dill und bringt dem Schwarzmeer-Tisch ein leichtes Sommergericht mit grüner Frische und lockeren Körnern.,,,0,0
pancarli-misir-ekmegi-rize-usulu,Rize Pancarlı Mısır Ekmeği,"Rize pancarlı mısır ekmeği, karalahana pancarını mısır unu hamuruna katlayarak yağmur sofralarına tok, nemli ve otsu kokulu bir dilim taşır.",KAHVALTI,tr,EASY,15,32,47,6,186,Karalahana 200 gr | Mısır unu 2 su bardağı | Yoğurt 1 su bardağı | Yumurta 1 adet | Tereyağı 25 gr | Tuz 1 çay kaşığı,6,"1. Karalahanayı ince doğrayıp 3 dakika haşlayın ve süzün. || 2. Mısır unu, yoğurt, yumurta, eritilmiş tereyağı, tuz ve karalahanayı karıştırın. || 3. Harci kalıba yayıp 190°C fırında 32 dakika pişirin.",3,"SUT,YUMURTA","firinda,kis-tarifi,vejetaryen",Hamuru akışkan bırakmak mısır ekmeğinin içinin sertleşmesini önler.,Yanına tereyağı sürerek ılık servis edin.,Rize Cornbread with Black Cabbage Greens,"This Rize cornbread folds black cabbage greens into a cornmeal batter, baking a moist, hearty slice with herbal Black Sea character for rainy mornings.",,,0,0,Rize-Maisbrot mit Kohlgrün,"Dieses Maisbrot aus Rize hebt schwarzes Kohlgemüse unter den Teig und bäckt eine saftige, kräftige Scheibe mit kräutrigem Schwarzmeer-Charakter für regnerische Morgen.",,,0,0
findikli-karalahana-sarmasi-giresun-usulu,Giresun Fındıklı Karalahana Sarması,"Giresun fındıklı karalahana sarması, iç harca fındık ve pirinç ekleyerek yayla otunu kıvrımlı, aromatik ve tok bir sofralık hâline getirir.",YEMEK,tr,MEDIUM,28,30,58,5,198,Karalahana yaprağı 18 adet | Pirinç 0.75 su bardağı | Fındık 0.5 su bardağı | Kuru soğan 1 adet | Zeytinyağı 2 yemek kaşığı | Tuz 1 çay kaşığı | Limon 1 adet,7,"1. Karalahana yapraklarını 2 dakika haşlayıp soğuk sudan geçirin. || 2. Pirinç, ince doğranmış soğan, fındık, yağ ve tuzu karıştırıp iç harcı hazırlayın. || 3. Yapraklara harç koyup sarın, tencerede 30 dakika pişirin ve limonla servis edin.",3,KUSUYEMIS,"misafir-sofrasi,vejetaryen,kis-tarifi",Karalahanayı kısa haşlamak sararken yaprakların yırtılmasını azaltır.,Üzerine birkaç damla limon sıkarak sıcak servis edin.,Giresun Black Cabbage Rolls with Hazelnuts,"These Giresun rolls fill black cabbage leaves with rice and hazelnuts, turning a mountain green into a fragrant, hearty dish with layered texture.",,,0,0,Giresun-Kohlrollen mit Haselnüssen,"Diese Rollen aus Giresun füllen Schwarzkohlblätter mit Reis und Haselnüssen und machen daraus ein duftendes, sättigendes Gericht mit viel Struktur.",,,0,0
cop-sis-izmir-ocak-usulu,İzmir Çöp Şiş,"İzmir Çöp Şiş, kuzu etini küçük parçalar halinde şişleyip köz ateşinde pişirerek Ege mutfağına dumanlı, sulu ve hızlı bir ocak klasiği sunar.",YEMEK,tr,MEDIUM,20,10,30,4,312,Kuzu eti 600 gr | Zeytinyağı 2 yemek kaşığı | Kekik 1 tatlı kaşığı | Tuz 1 çay kaşığı | Lavaş 4 adet | Yeşil biber 4 adet,6,"1. Kuzu etini küçük küpler halinde kesip zeytinyağı, kekik ve tuzla karıştırın. || 2. Eti şişlere dizip yüksek ateşte toplam 8 dakika pişirin. || 3. Biberleri közleyin, şişleri lavaş ve biberle birlikte servis edin.",3,GLUTEN,"30-dakika-alti,yuksek-protein,misafir-sofrasi",Etleri aynı büyüklükte kesmek şişte eşit pişme sağlar.,Yanına lavaş ve közlenmiş biber koyarak sıcak servis edin.,Izmir Cop Sis,"Izmir Cop Sis threads small lamb pieces onto skewers and cooks them over open heat, delivering an Aegean grill classic with smoke, juice, and speed.",,,0,0,Izmir Cop Sis,"Izmir Cop Sis steckt kleine Lammstücke auf Spieße und gart sie über offener Hitze zu einem Ägäis-Klassiker mit Rauch, Saft und Tempo.",,,0,0
radika-borani-ayvalik-usulu,Ayvalık Radika Boranisi,"Ayvalık radika boranisi, haşlanmış radikayı sarımsaklı yoğurtla buluşturarak Ege sofrasına serin, hafif acı ve ipeksi bir meze taşır.",SALATA,tr,EASY,12,8,20,4,112,Radika 300 gr | Yoğurt 1.5 su bardağı | Sarımsak 2 diş | Zeytinyağı 1 yemek kaşığı | Tuz 0.5 çay kaşığı,5,1. Radikayı 5 dakika haşlayıp suyunu süzün. || 2. Yoğurdu sarımsak ve tuzla çırpın. || 3. Radikayı yoğurtla karıştırıp üzerine zeytinyağı gezdirin.,3,SUT,"vejetaryen,30-dakika-alti,yaz-tarifi",Radikayı diri bırakmak dokusunu korur.,Üzerine zeytinyağı gezdirerek soğuk servis edin.,Ayvalik Radika Borani,Ayvalik Radika Borani combines boiled greens with garlicky yogurt for a cool Aegean meze with gentle bitterness.,,,0,0,Ayvalik-Radika-Borani,Ayvalik Radika Borani verbindet gekochte Kräuter mit Knoblauchjoghurt zu einer kühlen Ägäis-Mezze mit feiner Bitterkeit.,,,0,0
sakizli-lor-tatlisi-izmir-usulu,İzmir Sakızlı Lor Tatlısı,"İzmir sakızlı lor tatlısı, lor peyniri ve damla sakızını hafifçe pişirerek serin, sütlü ve reçinemsi kokulu bir kaşık tatlısı kurar.",TATLI,tr,EASY,10,15,25,4,192,Lor peyniri 300 gr | Süt 1 su bardağı | Toz şeker 0.5 su bardağı | Damla sakızı 1 çimdik | Limon kabuğu rendesi 0.5 çay kaşığı,5,1. Süt ve şekeri ısıtıp damla sakızını ekleyin. || 2. Lor peynirini katıp 8 dakika karıştırarak pişirin. || 3. Kaselere paylaştırıp soğutarak servis edin.,3,SUT,"vejetaryen,misafir-sofrasi,30-dakika-alti",Damla sakızını az kullanmak dengeyi korur.,Üzerine limon kabuğu serpip soğuk servis edin.,Izmir Mastic Curd Dessert,This Izmir dessert cooks curd cheese with mastic into a chilled spoon sweet with milky softness.,,,0,0,Izmir-Lor-Dessert mit Mastix,Dieses Dessert aus Izmir gart Lor-Käse mit Mastix zu einer gekühlten Löffelsüßspeise mit milder Milchigkeit.,,,0,0
incirli-kereviz-aydin-usulu,Aydın İncirli Kereviz,"Aydın incirli kereviz, kerevizi kuru incir ve zeytinyağıyla pişirerek Ege'ye hafif tatlı, parlak ve narenciyeli bir zeytinyağlı bırakır.",YEMEK,tr,EASY,15,25,40,4,148,Kereviz 2 adet | Kuru incir 5 adet | Portakal suyu 0.5 su bardağı | Zeytinyağı 3 yemek kaşığı | Limon 1 adet | Tuz 0.75 çay kaşığı,6,"1. Kerevizleri soyup limonlu suda bekletin. || 2. Kerevizi yağ, portakal suyu ve tuzla 20 dakika pişirin. || 3. İncirleri ekleyip 5 dakika daha pişirin.",3,KEREVIZ,"vegan,yaz-tarifi,misafir-sofrasi",Kerevizi limonlu suda bekletmek rengini korur.,Ilık ya da soğuk servis edin.,Aydin Celery with Dried Figs,This Aydin olive oil dish cooks celery with dried figs for a bright plate with gentle sweetness and citrus lift.,,,0,0,Aydin-Sellerie mit Feigen,Dieses Olivenölgericht aus Aydin gart Sellerie mit getrockneten Feigen zu einem hellen Teller mit sanfter Süße und Zitrusfrische.,,,0,0
