slug,title,description,type,cuisine,difficulty,prep_minutes,cook_minutes,total_minutes,serving_count,average_calories,ingredients,ingredient_count,steps,step_count,allergens,tags,tipNote,servingSuggestion
citir-nori-cipsi,Çıtır Nori Cipsi,"Nori yaprakları kısa sürede fırınlanınca hafif, tuzlu ve alışılmış cipslerden farklı bir atıştırmalık verir.",ATISTIRMALIK,jp,EASY,5,8,13,3,60,Nori yaprağı 6 adet | Susam yağı 1 yemek kaşığı | Susam 1 tatlı kaşığı | Tuz 1 çimdik,4,1. Nori yapraklarını küçük parçalara kesin. || 2. Üzerine hafif yağ sürüp susam serpin. || 3. 180°C fırında 6-8 dakika pişirin.,3,SUSAM,"vegan,30-dakika-alti,vejetaryen",Nori çok hızlı koyulaşır; fırından çıktığı anda daha da çıtırlaşacağını unutmayın.,Susam serperek sıcak değil ılık servis edin.
citir-patates,Çıtır Patates,Fırında çıtır çıtır pişen baharatlı patates dilimleri.,ATISTIRMALIK,tr,EASY,10,30,40,4,200,Patates 4 adet | Zeytinyağı 2 yemek kaşığı | Tuz 1 çay kaşığı | Karabiber 0.5 çay kaşığı | Kekik 1 tatlı kaşığı | Sarımsak tozu 0.5 tatlı kaşığı,6,"1. Patatesleri yıkayıp dilimleyin. 30 dk soğuk suda bekletin. || 2. Kurulamayıp zeytinyağı ve baharatlarla karıştırın. || 3. Fırın tepsisine tek sıra dizin, 220°C'de 25-30 dk pişirin.",3,GLUTEN,"vejetaryen,firinda,cocuk-dostu,vegan",Patatesleri 30 dk suda bekletip kurulamak çıtırlık sırrı.,
clafoutis,Clafoutis,"Kirazın yumurtalı hafif bir hamur içinde piştiği clafoutis, Fransız evlerinde mevsim meyvesiyle yapılan sade bir tatlıdır.",TATLI,fr,EASY,15,35,50,6,260,Kiraz 400 gr | Yumurta 3 adet | Süt 300 ml | Un 100 gr | Şeker 100 gr,5,"1. Yumurta, süt, un ve şekeri pürüzsüz olana kadar çırpın. || 2. Kirazları yağlanmış kalıba yayıp hamuru üstüne dökün. || 3. 180°C fırında 35 dakika pişirin.",3,"GLUTEN,SUT,YUMURTA","vejetaryen,misafir-sofrasi",Kirazları fazla sulandırmamak için yıkadıktan sonra kağıt havluyla tamamen kurulayın.,Üzerine pudra şekeri serpip ılık servis edin.
clam-chowder,Clam Chowder,"New England clam chowder deniz tarağı, patates ve kremayla koyu, sütlü bir kıyı çorbasıdır.",CORBA,tr,MEDIUM,20,35,55,5,310,Deniz tarağı 500 gr | Patates 3 adet | Krema 300 ml | Un 1 yemek kaşığı,4,1. Patatesleri küp doğrayıp 15 dakika haşlayın. || 2. Un ve kremayla çorbayı koyulaştırın. || 3. Deniz tarağını ekleyip 8 dakika pişirin.,3,"DENIZ_URUNLERI,SUT,GLUTEN",kis-tarifi,,
clover-club,Clover Club,"Clover Club cin, ahududu ve yumurta akıyla köpüklü, pembe ve ipeksi bir kokteyl verir.",KOKTEYL,us,MEDIUM,8,0,8,1,190,Cin 50 ml | Ahududu şurubu 20 ml | Limon suyu 20 ml | Yumurta akı 1 adet,4,1. Malzemeleri buzsuz shakerda 10 saniye çalkalayın. || 2. Buz ekleyip 12 saniye daha çalkalayın. || 3. Kokteyli çift süzgeçle bardağa aktarın.,3,YUMURTA,"alkollu,30-dakika-alti,vejetaryen",Yumurta akını önce buzsuz çalkalayın; köpük daha kalıcı olur.,Coupe bardakta üç ahududu ile servis edin.
coban-salatasi,Çoban Salatası,"Taze sebzelerle hazırlanan, her sofraya yakışan klasik Türk salatası.",SALATA,tr,EASY,10,0,10,4,90,Domates 3 adet | Salatalık 2 adet | Sivri biber 2 adet | Soğan 1 adet | Maydanoz 1 demet | Zeytinyağı | Limon | Tuz,8,"1. Tüm sebzeleri küçük küçük doğrayın. || 2. Derin bir kaseye alın. || 3. Zeytinyağı, limon suyu ve tuz ile harmanlayın.",3,,"pratik,30-dakika-alti,dusuk-kalorili,vegan,vejetaryen",,
cocada,Cocada,"Cocada, hindistan cevizi ve şekerin kısa pişip kaşıkla şekillenen yoğun Brezilya tatlısıdır.",TATLI,br,EASY,15,18,33,10,190,Hindistan cevizi rendesi 250 gr | Yoğunlaştırılmış süt 300 gr | Şeker 80 gr | Tereyağı 1 yemek kaşığı,4,1. Tüm malzemeleri tencereye alın. || 2. Karışımı 18 dakika karıştırarak pişirin. || 3. Kaşıkla porsiyonlayıp soğutun.,3,SUT,misafir-sofrasi,Karışım tencerenin dibinden ayrılınca ocaktan alın; fazla pişerse sertleşir.,Küçük kağıt kapsüllerde oda sıcaklığında servis edin.
cokertme-kebabi,Çökertme Kebabı,"İnce patates kızartması, sarımsaklı yoğurt ve et soteyle hazırlanan Bodrum lezzeti.",YEMEK,tr,MEDIUM,30,30,60,4,720,Dana biftek 500 gr | Patates 4 adet | Yoğurt 1.5 su bardağı | Sarımsak 2 diş | Domates püresi 1 su bardağı | Tereyağı 1 yemek kaşığı | Sıvı yağ 2 su bardağı | Tuz 1 tatlı kaşığı,8,"1. Patatesleri ince doğrayıp kızgın yağda altın rengi olana kadar kızartın. || 2. İnce doğranmış eti tavada 8-10 dakika soteleyin. || 3. Patates, sarımsaklı yoğurt, domates sosu ve eti katman halinde servis tabağına alın.",3,SUT,"misafir-sofrasi,yuksek-protein",Patatesleri kibrit inceliğinde doğrayıp soğuk suda bekletin; kızarınca daha çıtır olur.,"Domates sosunu sıcak, yoğurdu soğuk servis edin."
coleslaw,Coleslaw,"Beyaz lahana, havuç ve yoğurtlu mayonez sosla hazırlanan çıtır salata.",SALATA,tr,EASY,15,0,15,6,170,Beyaz lahana 0.5 adet | Havuç 2 adet | Yoğurt 0.5 su bardağı | Mayonez 3 yemek kaşığı | Elma sirkesi 1 yemek kaşığı | Şeker 1 çay kaşığı,6,"1. Lahana ve havucu ince doğrayın. || 2. Yoğurt, mayonez, sirke ve şekeri karıştırın. || 3. Sebzeleri sosla karıştırıp 10 dakika dinlendirin.",3,"SUT,YUMURTA","vejetaryen,pratik",Lahanayı tuzla 5 dakika ovun; sosla daha kolay birleşir.,Burger veya ızgara tavuk yanında servis edin.
com-tam,Com Tam,"Saygon kırık pirinci, ızgara et, yumurta ve turşu sebzeyle doyurucu bir tabak kurar.",YEMEK,vn,MEDIUM,25,30,55,4,610,Kırık pirinç 2 su bardağı — Ana yemek için | Dana pirzola 500 gr — Ana yemek için | Yumurta 4 adet — Servis için | Soya sosu 2 yemek kaşığı — Ana yemek için | Salatalık 2 adet — Servis için,5,"1. Pirinci yıkayıp 20 dakika pişirin. || 2. Eti soya sosuyla marine edip ızgara tavada 10 dakika pişirin. || 3. Pilavı et, kızarmış yumurta ve salatalıkla tabaklayın.",3,"YUMURTA,SOYA",yuksek-protein,Pirinci bol suyla yıkayın; kırık taneler nişastasını bırakınca daha tane tane pişer.,"Pilav, ızgara et, yumurta ve salatalıkla sıcak servis edin."
