slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
flan-cubano,Flan Cubano,TATLI,tatlilar,cu,3,3,few-steps,Yumurta 4 adet | Süt 500 ml | Şeker 180 gr | Vanilya 1 çay kaşığı,"1. Şekerin yarısını karamel yapıp kalıba yayın. || 2. Yumurta, süt, kalan şeker ve vanilyayı çırpın. || 3. Karışımı kalıba döküp benmari düzende 40 dakika pişirin."
focaccia,Focaccia,YEMEK,hamur-isleri,it,3,3,few-steps,Un 4 su bardağı | Ilık su 1.75 su bardağı | Kuru maya 1 tatlı kaşığı | Zeytinyağı 0.5 su bardağı | Biberiye 2 dal | İri tuz 1 çay kaşığı,"1. Un, su, maya ve tuzu yoğurup 60 dakika mayalandırın. || 2. Hamuru yağlı tepsiye yayın, 25 dakika daha dinlendirin. || 3. Zeytinyağı, biberiye ve tuz ekleyip 200°C fırında 22-25 dakika pişirin."
banduma-kastamonu-usulu,Banduma,YEMEK,et-yemekleri,tr,4,3,few-steps,Yufka 4 adet | Haşlanmış tavuk eti 300 gr | Tavuk suyu 2 su bardağı | Tereyağı 35 gr | Ceviz 1 su bardağı,1. Yufkaları şeritler halinde kesin. || 2. Yufkaları tavuk suyuna kısaca batırıp rulo şeklinde sararak tepsiye dizin. || 3. Aralara tavuk eti yerleştirip tereyağı sürün. || 4. Bandumayı 190°C fırında 20 dakika ısıtıp cevizle servis edin.
gaeng-daeng,Gaeng Daeng,YEMEK,tavuk-yemekleri,th,3,3,few-steps,Tavuk göğsü 600 gr | Hindistan cevizi sütü 400 ml | Kırmızı köri ezmesi 2 yemek kaşığı | Balık sosu 1 yemek kaşığı,1. Köri ezmesini tencerede 2 dakika kavurun. || 2. Tavuk ve hindistan cevizi sütünü ekleyin. || 3. Sosu 20-25 dakika pişirin.
dobos-torta,Dobos Torta,TATLI,tatlilar,hu,3,3,few-steps,Yumurta 6 adet | Un 180 gr | Toz şeker 250 gr | Tereyağı 200 gr | Bitter çikolata 180 gr,1. İnce kek katlarını ayrı ayrı pişirin. || 2. Çikolatalı kremayı hazırlayıp katları birleştirin. || 3. Üst kata karamel döküp tortayı tamamlayın.
cop-sis-izmir-ocak-usulu,İzmir Çöp Şiş,YEMEK,et-yemekleri,tr,3,3,few-steps,Kuzu eti 600 gr | Zeytinyağı 2 yemek kaşığı | Kekik 1 tatlı kaşığı | Tuz 1 çay kaşığı | Lavaş 4 adet | Yeşil biber 4 adet,"1. Kuzu etini küçük küpler halinde kesip zeytinyağı, kekik ve tuzla karıştırın. || 2. Eti şişlere dizip yüksek ateşte toplam 8 dakika pişirin. || 3. Biberleri közleyin, şişleri lavaş ve biberle birlikte servis edin."
gigantes-plaki,Gigantes Plaki,YEMEK,baklagil-yemekleri,gr,3,3,few-steps,İri kuru fasulye 500 gr | Domates rendesi 400 ml | Soğan 2 adet | Zeytinyağı 4 yemek kaşığı,1. Fasulyeyi bir gece ıslatıp 35 dakika haşlayın. || 2. Soğanı zeytinyağında çevirip domates rendesini ekleyin. || 3. Fasulye ve sosu 190°C fırında 35 dakika pişirin.
mercimekli-kabak-sote,Mercimekli Kabak Sote,YEMEK,baklagil-yemekleri,tr,3,3,few-steps,Haşlanmış yeşil mercimek 300 gr | Kabak 3 adet | Soğan 1 adet | Zeytinyağı 2 yemek kaşığı,1. Soğanı yağda çevirip kabakları ekleyin. || 2. Kabaklar hafif yumuşayınca mercimeği katın. || 3. 8 dakika birlikte pişirip servis edin.
konya-tiridi,Konya Tiridi,YEMEK,et-yemekleri,tr,3,3,few-steps,Dana haşlama eti 500 gr | Pide ekmeği 2 adet | Et suyu 500 ml | Yoğurt 250 gr | Tereyağı 40 gr,1. Eti et suyunda 30 dakika yumuşayana kadar ısıtın. || 2. Pideleri doğrayıp sıcak et suyuyla ıslatın. || 3. Pideleri tabağa alıp eti yerleştirin ve yoğurtla tereyağını üzerine gezdirin.
gullac,Güllaç,TATLI,tatlilar,tr,3,3,few-steps,Güllaç yaprağı 10 adet | Süt 1.5 litre | Şeker 1.5 su bardağı | Ceviz 1 su bardağı | Gül suyu 1 yemek kaşığı | Nar 0.5 su bardağı,1. Süt ve şekeri ısıtıp şeker eriyince gül suyunu ekleyin. || 2. Güllaç yapraklarını sütle ıslatıp cevizle kat kat dizin. || 3. Tatlıyı buzdolabında 2 saat dinlendirip narla servis edin.
gyros,Gyros,YEMEK,et-yemekleri,gr,3,3,few-steps,Dana antrikot 600 gr | Pita ekmeği 4 adet | Yoğurt 0.5 su bardağı | Soğan 1 adet | Kekik 1 tatlı kaşığı | Tuz 1 çay kaşığı,"1. Eti yoğurt, kekik ve tuzla 20 dakika marine edin. || 2. Eti tavada 8-10 dakika pişirin. || 3. Pitaları ısıtıp et ve soğanla doldurun."
ihlamur-balli-sicak-icecek,Ihlamur Ballı Sıcak İçecek,ICECEK,kahve-sicak-icecekler,tr,3,3,no-time,Ihlamur 2 tutam | Su 500 ml | Bal 2 tatlı kaşığı | Limon suyu 1 yemek kaşığı,1. Suyu kaynatıp ıhlamuru ekleyin. || 2. Demlenmesi için 6 dakika bekletin. || 3. Süzüp bal ve limon suyunu ekleyin.
msemen,Msemen,KAHVALTI,hamur-isleri,ma,3,3,few-steps,Un 400 gr | İrmik 100 gr | Zeytinyağı 80 ml | Su 260 ml,"1. Un, irmik ve suyla elastik hamur yoğurun. || 2. Hamuru yağlayıp katlayarak kareler hazırlayın. || 3. Tavada iki yüzünü 10 dakika pişirin."
