title_lower,group_size,winner_slug,winner_score,loser_slugs,total_bookmark_loser,total_coll_loser,total_mealplan_loser,total_variation_loser,total_review_loser,cuisine_group
"kedgeree",3,kedgeree-ingiliz-kahvalti-usulu,1075.4,"kedgeree|kedgeree-ingiliz-usulu",0,0,0,0,0,same
"kladdkaka",3,kladdkaka-portakalli-isvec-usulu,1073.5,"kladdkaka-isvec-usulu|kladdkaka",0,0,0,0,0,same
"meggyleves",3,meggyleves-soguk-macar-usulu,73.7,"meggyleves|meggyleves-macar-usulu",0,0,0,0,0,same
"mizeria",3,mizeria-polonya-yaz-usulu,64.9,"mizeria-polonya-usulu|mizeria-polonya-ev-usulu",0,0,0,0,0,same
"nyponsoppa",3,nyponsoppa-bademli-isvec-usulu,75.2,"nyponsoppa-isvec-usulu|nyponsoppa",0,0,0,0,0,same
"okroshka",3,okroshka-kefirli-rus-usulu,75.0,"okroshka-rus-usulu|okroshka",0,0,0,0,0,same
"picarones",3,picarones,89.7,"picarones-peru-usulu|picarones-mini-peru-usulu",0,0,0,0,0,same
"sellou",3,sellou-fas-usulu,77.4,"sellou|sellou-kuzey-afrika-usulu",0,0,0,0,0,same
"toyga çorbası",3,toyga-corbasi,99.7,"toyga-corbasi-corum-usulu|toyga-corbasi-ankara-usulu",0,0,0,0,0,same
"túrós csusza",3,turos-csusza-macar-usulu,66.3,"turos-csusza|turos-csusza-firin-macar-usulu",0,0,0,0,0,same
"acılı ezme",2,acili-ezme-guneydogu-usulu,106.0,"acili-ezme",0,0,0,0,0,same
"afyon sumaklı patates aşı",2,sumakli-patates-asi-afyon-usulu,63.8,"sumakli-patates-asi-afyon-ova-usulu",0,0,0,0,0,same
"amasya cevizli bulgur sarması",2,cevizli-bulgur-sarmasi-amasya-usulu,73.7,"cevizli-bulgur-sarmasi-amasya-bag-usulu",0,0,0,0,0,same
