slug,title,description,type,cuisine,ingredients_summary,allergens,tags,tipNote,servingSuggestion
acai-bowl,Açai Bowl,"Brezilya kıyılarından gelen koyu mor açai püresi, meyve ve granolayla kaşık kaşık yenir.",ICECEK,br,Açai püresi; Donmuş muz; Yaban mersini; Granola; Badem,"GLUTEN,KUSUYEMIS","vegan,30-dakika-alti,yaz-tarifi,vejetaryen",Muz ve açai püresi donuk olursa kase kaşıkla yenebilir koyulukta kalır.,Üzerine granola ve taze meyve dizin.
acaraje,Acaraje,"Brezilya acarajesi börülce hamurunun kızartılmasıyla yapılır, içine baharatlı karidesli dolgu alır.",APERATIF,tr,Kuru börülce; Soğan; Karides; Sıvı yağ,DENIZ_URUNLERI,misafir-sofrasi,,
acili-eksili-corba,Acılı Ekşili Çorba,"Çin lokantalarının sirke, mantar, tofu ve yumurtayla yoğunlaşan sıcak-ekşi çorbası.",CORBA,th,Tofu; Mantar; Yumurta; Soya sosu; Pirinç sirkesi,"SOYA,YUMURTA",vejetaryen,Çırpılmış yumurtayı ince akıtarak ekleyin; çorbada ipek şeritler oluşur.,Taze soğanla sıcak servis edin.
acili-ezme,Acılı Ezme,"Güneydoğu mutfağının vazgeçilmez mezesi. Bol acılı, soğanlı ve domatesli.",APERATIF,tr,Domates; Sivri biber; Soğan; Maydanoz; Nar ekşisi; Pul biber; Tuz,,"vegan,30-dakika-alti,dusuk-kalorili,pratik,vejetaryen",,Lavaş veya pide ile servis edin.
acma,Açma,"Mayalı hamurla yapılan, tel tel ayrılan yumuşak kahvaltılık hamur işi.",KAHVALTI,tr,Un; Ilık süt; Ilık su; Kuru maya; Şeker; Tuz; Sıvı yağ; Tereyağı,"GLUTEN,SUT,YUMURTA","vejetaryen,firinda,cocuk-dostu",Şekil verdikten sonra ikinci mayayı atlamayın; açmanın lifli dokusu bu dinlenmeyle oluşur.,"Beyaz peynir, zeytin ve çayla servis edin."
adacayli-elma-cayi,Adaçaylı Elma Çayı,"Adaçaylı elma çayı, kuru elma ile adaçayını aynı demlikte buluşturan sade ve rahat içimli bir sıcak içecektir.",ICECEK,tr,Kuru elma; Adaçayı; Elma; Su,,"alkolsuz,kis-tarifi,dusuk-kalorili,vejetaryen,vegan",Adaçayını uzun tutmayın; keskinliği elmanın önüne geçer.,Fincanlara ince elma dilimleri koyarak sıcak servis edin.
adana-anali-kizli-kofte,Adana Analı Kızlı Köfte,"Adana usulü analı kızlı, büyük içli köfte ve küçük bulgur köftelerini ekşili suda birleştirir.",CORBA,tr,İnce bulgur; Dana kıyma; Nohut; Nar ekşisi,GLUTEN,misafir-sofrasi,,
adana-kebap,Adana Kebap,"Acılı kıyma ile hazırlanan, mangalda pişirilen klasik Adana kebabı. Lavaş, közlenmiş domates ve biber ile servis edilir.",YEMEK,tr,Dana kıyma (yağlı); Kuyruk yağı; Pul biber; Tuz; Karabiber; Kimyon; Sarımsak,,"misafir-sofrasi,yuksek-protein","Kıymayı en az 15 dakika yoğurun, yapışkan hale gelsin. Şişe sararken elinizi ıslak tutun.","Lavaş, közlenmiş domates, biber ve soğan salatası ile servis edin."
adana-yuksuk-corbasi,Adana Yüksük Çorbası,"Adana yüksük çorbası, küçük mantılar ve nohutla ekşi salçalı suda pişen doyurucu bir kasedir.",CORBA,tr,Un; Dana kıyma; Haşlanmış nohut; Domates salçası,GLUTEN,misafir-sofrasi,Mantıları küçük kapatın; büyük mantı çorba içinde hamur tadı verir.,Kuru nane ve limonla sıcak servis edin.
aebleskiver,Aebleskiver,"Tavada yuvarlak gözlerde pişen aebleskiver, dışı hafif kabuklu içi yumuşak bir Danimarka kahvaltı çöreğidir.",KAHVALTI,se,Un; Süt; Yumurta; Tereyağı,"GLUTEN,SUT,YUMURTA",vejetaryen,Hamuru çevirirken şiş ya da ince çubuk kullanın; yuvarlak formu böyle kurulur.,Pudra şekeri ve reçelle ılık servis edin.
