slug,type,currentStepCount,minTarget,maxTarget,currentTitle,currentStepsJson
barramundi-tava-avustralya-usulu,YEMEK,3,5,10,Barramundi Tava,"[{""stepNumber"":1,""instruction"":""Filetoları tuzlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Tereyağında ilk yüzü 4 dakika pişirin."",""timerSeconds"":240},{""stepNumber"":3,""instruction"":""Diğer yüzünü 4 dakika pişirip limonla servis edin."",""timerSeconds"":240}]"
bastilla,YEMEK,3,5,10,Bastilla,"[{""stepNumber"":1,""instruction"":""Tavuğu haşlayıp didikleyin; yumurtayla 6 dakika pişirin."",""timerSeconds"":360},{""stepNumber"":2,""instruction"":""Badem ve tarçını iç harca ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Yufkalara harcı kat kat sarıp 190°C fırında 35 dakika pişirin."",""timerSeconds"":2100}]"
beef-chow-fun,YEMEK,3,5,10,Beef Chow Fun,"[{""stepNumber"":1,""instruction"":""Dana etini ince dilimleyin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Eti wokta 4 dakika pişirin."",""timerSeconds"":240},{""stepNumber"":3,""instruction"":""Erişte, filiz ve soya sosunu ekleyip 5 dakika çevirin."",""timerSeconds"":300}]"
beef-stroganoff-klasik,YEMEK,3,5,10,Beef Stroganoff Klasik,"[{""stepNumber"":1,""instruction"":""Dana etini ince şerit doğrayıp 5 dakika mühürleyin."",""timerSeconds"":300},{""stepNumber"":2,""instruction"":""Mantar ve soğanı ekleyip 10 dakika pişirin."",""timerSeconds"":600},{""stepNumber"":3,""instruction"":""Ekşi kremayı ekleyip 5 dakika daha pişirin."",""timerSeconds"":300}]"
beetroot-burger-avustralya-usulu,YEMEK,3,5,10,Beetroot Burger,"[{""stepNumber"":1,""instruction"":""Kıymayı köfte şekline getirip tuzlayın."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Köfteleri toplam 8 dakika pişirin."",""timerSeconds"":480},{""stepNumber"":3,""instruction"":""Ekmeği marul ve pancarla kapatıp servis edin."",""timerSeconds"":null}]"
beetroot-relish-burger-avustralya-usulu,YEMEK,3,5,10,Beetroot Relish Burger,"[{""stepNumber"":1,""instruction"":""Köfteleri şekillendirin."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Köfteleri toplam 10 dakika pişirin."",""timerSeconds"":600},{""stepNumber"":3,""instruction"":""Burgerleri birleştirip servis edin."",""timerSeconds"":null}]"
besamelli-tavuk,YEMEK,3,5,10,Beşamelli Tavuk,"[{""stepNumber"":1,""instruction"":""Tavuk ve mantarı tavada 10 dakika soteleyin."",""timerSeconds"":600},{""stepNumber"":2,""instruction"":""Tereyağı, un ve sütle beşamel sos hazırlayın."",""timerSeconds"":420},{""stepNumber"":3,""instruction"":""Tavuklu karışımı fırın kabına alın, sos ve kaşar ekleyip 190°C fırında 20 dakika pişirin."",""timerSeconds"":1200}]"
beyti-sarma,YEMEK,3,5,10,Beyti Sarma,"[{""stepNumber"":1,""instruction"":""Kıyma, rendelenmiş soğan, sarımsak, kimyon ve tuzu 10 dakika yoğurun."",""timerSeconds"":600},{""stepNumber"":2,""instruction"":""Harçtan uzun köfteler yapıp ızgarada 12-14 dakika pişirin."",""timerSeconds"":840},{""stepNumber"":3,""instruction"":""Köfteleri lavaşa sarıp dilimleyin, domates sosu ve yoğurtla servis edin."",""timerSeconds"":null}]"
biang-biang-mian,YEMEK,3,5,10,Biang Biang Mian,"[{""stepNumber"":1,""instruction"":""Un ve suyla elastik hamur yoğurun."",""timerSeconds"":null},{""stepNumber"":2,""instruction"":""Hamuru 45 dakika dinlendirip geniş noodle çekin."",""timerSeconds"":2700},{""stepNumber"":3,""instruction"":""Noodleı haşlayıp sos ve kızgın yağla karıştırın."",""timerSeconds"":null}]"
biberiyeli-tavuklu-firik-pilavi-mersin-usulu,YEMEK,3,5,10,Biberiyeli Tavuklu Firik Pilavı,"[{""stepNumber"":1,""instruction"":""Tavuğu 6 dakika soteleyin."",""timerSeconds"":360},{""stepNumber"":2,""instruction"":""Firik ve suyu ekleyin."",""timerSeconds"":null},{""stepNumber"":3,""instruction"":""Biberiyeyle 12 dakika pişirin."",""timerSeconds"":720}]"
