slug,title,type,category,cuisine,stepCount,score,issues,ingredients_tr,current_steps_tr
yogurtlu-sebzeli-bulgur-salatasi-ankara-usulu,Yoğurtlu Sebzeli Bulgur Salatası,SALATA,salatalar,tr,3,4,few-steps;short-step,İnce bulgur 1.5 su bardağı | Yoğurt 1 su bardağı | Salatalık 1 adet | Havuç 1 adet,1. Bulguru sıcak suyla ıslatın. || 2. Sebzeleri ince doğrayın. || 3. Yoğurtla karıştırıp servis edin.
kekikli-dana-firinda-patlican-bodrum-usulu,Kekikli Dana Fırında Patlıcan,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Dana kuşbaşı 450 gr | Patlıcan 2 adet | Kekik 1 çay kaşığı | Domates rendesi 1 su bardağı,1. Patlıcanı 6 dakika mühürleyin. || 2. Et ve sosu ekleyin. || 3. Tepsiyi 18 dakika pişirin.
kestaneli-mantar-sote-bilecik-usulu,Kestaneli Mantar Sote,YEMEK,sebze-yemekleri,tr,3,4,few-steps;short-step,Kültür mantarı 350 gr | Haşlanmış kestane 1 su bardağı | Tereyağı 1 yemek kaşığı | Karabiber 0.25 çay kaşığı,1. Mantarı tavaya alın. || 2. 5 dakika soteleyin. || 3. Kestane ile birlikte 5 dakika daha çevirin.
corum-keskek,Çorum Keşkek,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Aşurelik buğday 500 gr | Dana eti 700 gr | Tereyağı 80 gr | Pul biber 1 tatlı kaşığı,1. Buğday ve eti 3 saat pişirin. || 2. Karışımı 15 dakika dövün. || 3. Tereyağlı biberle servis edin.
amasya-baklali-dolma,Amasya Baklalı Dolma,YEMEK,sebze-yemekleri,tr,3,4,few-steps;short-step,Asma yaprağı 60 adet | Kuru bakla 1 su bardağı | Bulgur 1 su bardağı | Yoğurt 300 gr,1. Baklayı 4 saat ıslatın. || 2. Bakla ve bulgurla iç hazırlayın. || 3. Dolmaları 60 dakika pişirin.
kinoali-sebze-corbasi-peru-usulu,Kinoalı Sebze Çorbası,CORBA,corbalar,pe,3,4,few-steps;short-step,Kinoa 1 su bardağı | Patates 1 adet | Havuç 1 adet | Aji amarillo ezmesi 1 yemek kaşığı | Su 5 su bardağı,1. Sebzeleri 4 dakika çevirin. || 2. Kinoa ve suyu ekleyin. || 3. Çorbayı 15 dakika pişirin.
turunc-recelli-labne-tostu-antalya-usulu,Turunç Reçelli Labne Tostu,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Ekşi mayalı ekmek 4 dilim | Labne 0.75 su bardağı | Turunç reçeli 3 yemek kaşığı | Tereyağı 10 gr,1. Ekmeği kızartın. || 2. Labne ve reçeli sürün. || 3. Tostu hemen servis edin.
turos-palacsinta-kup-macaristan-usulu,Turos Palacsinta Kup,TATLI,tatlilar,hu,3,4,few-steps;short-step,Krep 4 adet | Lor peyniri 1 su bardağı | Reçel 0.5 su bardağı | Krema 0.5 su bardağı,1. Lorlu içi hazırlayın. || 2. Krepleri doldurup doğrayın. || 3. Kup katlarını kurup servis edin.
koz-patlicanli-mercimek-ezmesi-orta-dogu-usulu,Köz Patlıcanlı Mercimek Ezmesi,SOS,soslar-dippler,me,3,4,few-steps;short-step,Yeşil mercimek 1 su bardağı | Patlıcan 2 adet | Sarımsak 2 diş | Kimyon 0.5 çay kaşığı | Zeytinyağı 1 yemek kaşığı,1. Mercimeği 15 dakika haşlayın. || 2. Patlıcanı közleyip süzdürün. || 3. Tüm malzemeyi ezip servis edin.
kuru-biberli-tavuk-tava-mardin-usulu,Kuru Biberli Tavuk Tava,YEMEK,tavuk-yemekleri,tr,3,4,few-steps;short-step,Tavuk kalça 600 gr | Kuru biber 6 adet | Soğan 1 adet | Zeytinyağı 2 yemek kaşığı | Su 0.5 su bardağı,1. Tavuğu 8 dakika mühürleyin. || 2. Soğan ve biberi ekleyin. || 3. Az suyla 8 dakika pişirin.
fistikli-sutlu-nuriye-kare-gaziantep-usulu,Fıstıklı Sütlü Nuriye Kare,TATLI,tatlilar,tr,3,4,few-steps;short-step,Baklavalık yufka 20 adet | Antep fıstığı 1 su bardağı | Süt 1 su bardağı | Şeker 1 su bardağı | Tereyağı 125 gr,1. Yufkaları yağlayıp katlayın. || 2. Fıstığı aralara serpin. || 3. Tatlıyı 30 dakika pişirip sütlü şerbetle dinlendirin.
kusburnulu-cevizli-pelte-erzurum-usulu,Kuşburnulu Cevizli Pelte,TATLI,tatlilar,tr,3,4,few-steps;short-step,Kuşburnu suyu 4 su bardağı | Mısır nişastası 4 yemek kaşığı | Şeker 0.5 su bardağı | Ceviz 0.25 su bardağı,1. Nişastayı suyla açın. || 2. Karışımı 8 dakika pişirin. || 3. Cevizle soğutup servis edin.
labneli-biber-dolmasi-orta-dogu-usulu,Labneli Biber Dolması,APERATIF,aperatifler,me,3,4,few-steps;short-step,Mini biber 12 adet | Labne 200 gr | Nane 1 yemek kaşığı | Zeytinyağı 1 tatlı kaşığı,1. Biberleri ortadan açın. || 2. Labne harcını hazırlayın. || 3. Biberleri doldurup servis edin.
labneli-zahterli-bazlama-antalya-usulu,Labneli Zahterli Bazlama,KAHVALTI,kahvaltiliklar,tr,3,4,few-steps;short-step,Bazlama 2 adet | Labne 200 gr | Zahter 1 yemek kaşığı | Zeytinyağı 1 yemek kaşığı,1. Bazlamayı tavada ısıtın. || 2. Labneyi üstüne sürün. || 3. Zahter ve yağla servis edin.
kengerli-kuzu-sote-erzincan-usulu,Kengerli Kuzu Sote,YEMEK,et-yemekleri,tr,3,4,few-steps;short-step,Kuşbaşı kuzu eti 500 gr | Kenger otu 200 gr | Soğan 1 adet | Tereyağı 1 yemek kaşığı | Su 0.5 su bardağı,1. Eti 8 dakika mühürleyin. || 2. Soğan ve kengeri ekleyin. || 3. Az suyla 12 dakika pişirin.
reyhanli-bulgur-patlican-dolmasi-isparta-usulu,Isparta Reyhanlı Bulgur Patlıcan Dolması,YEMEK,sebze-yemekleri,tr,3,4,few-steps;short-step,Patlıcan 5 adet | İnce bulgur 1.5 su bardağı | Reyhan 0.25 demet | Domates rendesi 1 su bardağı | Zeytinyağı 2 yemek kaşığı | Tuz 1 çay kaşığı,1. Patlıcanları oyun ve tuzlayın. || 2. Bulgur ve iç malzemeyi karıştırıp doldurun. || 3. Tencerede 25 dakika pişirin.
lamington-kakaolu-kup-avustralya-usulu,Lamington Kakaolu Kup,TATLI,tatlilar,au,3,4,few-steps;short-step,Kek küpü 2 su bardağı | Kakao 2 yemek kaşığı | Hindistancevizi rendesi 3 yemek kaşığı | Krema 1 su bardağı,1. Kremayı kakaoyla karıştırın. || 2. Kup içine keki pay edin. || 3. Hindistancevizi ile katmanlayın.
lamington-yogurt-kup-avustralya-usulu,Avustralya Lamington Yoğurt Kup,TATLI,tatlilar,au,3,4,few-steps;short-step,Kakaolu kek 4 dilim | Yoğurt 2 su bardağı | Hindistan cevizi 3 yemek kaşığı,1. Keki ufalayın. || 2. Yoğurdu kuplara paylaştırın. || 3. Kek ve hindistan cevizini kat kat ekleyip servis edin.
