slug,title,category,type,cuisine,viewCount,ingredients_tr,steps_tr,tipNote_current,servingSuggestion_current
lorlu-zahterli-yumurta-pide-antalya-usulu,Lorlu Zahterli Yumurta Pide,kahvaltiliklar,KAHVALTI,tr,0,Pide hamuru 1 adet | Lor peyniri 120 gr | Yumurta 2 adet | Zahter 1 tatlı kaşığı,1. Hamuru açın. || 2. Lor ve zahteri yayın. || 3. Yumurtayla 16 dakika pişirin.,Yumurtayı son 6 dakikada kırmak sarısının diri kalmasını sağlar.,Sıcak servis edin.
lorlu-zeytinli-katmer-izmir-usulu,Lorlu Zeytinli Katmer,hamur-isleri,KAHVALTI,tr,0,Un 2 su bardağı | Lor peyniri 150 gr | Siyah zeytin 0.5 su bardağı | Zeytinyağı 1 yemek kaşığı | Su 0.75 su bardağı,1. Hamuru yoğurup dinlendirin. || 2. İçi yerleştirip katmeri hazırlayın. || 3. Katmeri 14 dakika pişirin.,Hamur katlarını az yağlayarak çalışmak katmerin gevrek ama ağır olmayan bir doku vermesini sağlar.,"Yanına közlenmiş biber, salatalık turşusu ve sıcak çörek dilimleriyle serpintisiz sunum kurun."
lorlu-zeytinli-otlu-krep-izmir-usulu,Lorlu Zeytinli Otlu Krep,kahvaltiliklar,KAHVALTI,tr,0,Un 0.75 su bardağı | Yumurta 2 adet | Lor peyniri 120 gr | Zeytin 8 adet,1. Krep hamurunu hazırlayın. || 2. İnce krepleri 6 dakika pişirin. || 3. İç harçla katlayıp servis edin.,Krep hamurunu 5 dakika dinlendirmek tavada daha pürüzsüz açılmasını sağlar.,Ilık servis edin.
loubia,Loubia,baklagil-yemekleri,YEMEK,ma,0,Kuru fasulye 400 gr | Domates püresi 300 ml | Sarımsak 3 diş | Kimyon 1 tatlı kaşığı,"1. Fasulyeyi akşamdan ıslatıp süzün. || 2. Domates, sarımsak ve kimyonla tencereye alın. || 3. Kısık ateşte 75 dakika pişirin.","Kuru baklagili gece boyunca ılık suda bekletmek pişme süresini yarıya indirir, gaz yapma etkisini de azaltır.",Yanına bulgur pilavı ve turşu koyarak derin kasede verin; üzerine pul biber gezdirin.
loukoumades,Loukoumades,tatlilar,TATLI,gr,0,Un 350 gr | Maya 7 gr | Süt 250 ml | Bal 150 gr | Tarçın 1 çay kaşığı,"1. Un, maya ve sütle akışkan hamur hazırlayıp 35 dakika mayalandırın. || 2. Kaşıkla parçalar alıp kızgın yağda pişirin. || 3. Bal ve tarçınla sıcak servis edin.","Hamuru en az 20 dakika dinlendirmek gluteni gevşetir, açımda elastik olmasını sağlar.",Yanına kuru incir dilimi ve bir kaşık yoğurtla kontrastlı tadım tabağı oluşturun.
lucuma-kremali-kup-peru-usulu,Lucuma Kremalı Kup,tatlilar,TATLI,pe,0,Lucuma püresi 1 su bardağı | Krema 1 su bardağı | Şeker 0.25 su bardağı | Vanilya 0.25 çay kaşığı,1. Kremayı hafifçe çırpın. || 2. Lucuma ve vanilyayı ekleyin. || 3. Kup içinde soğuk servis edin.,Lucuma püresini aşırı çırpmamak kup içinde yoğun meyve tadını korur.,"Buzdolabında bekletmiş tabakta tek porsiyon olarak, yanına demli ıhlamur fincanıyla verin."
lucuma-yogurt-kup-peru-usulu,Lucuma Yoğurt Kup,tatlilar,TATLI,pe,0,Yoğurt 2 su bardağı | Lucuma püresi 1 su bardağı | Bisküvi kırıntısı 1 su bardağı | Bal 2 yemek kaşığı,1. Yoğurdu ve balı karıştırın. || 2. Kup tabanına kırıntı serpin. || 3. Lucuma ile katmanlayın.,Lucuma püresini yoğurda nazikçe katlamak kup içinde iki tonlu bir görünüm bırakır.,Buzdolabından çıkarıp 10 dakika oda sıcaklığında bekletip yanına bir fincan Türk kahvesiyle sunun.
maakouda-fas-usulu,Maakouda,atistirmaliklar,ATISTIRMALIK,ma,0,Patates 700 gr | Yumurta 2 adet | Maydanoz 0.25 demet | Kimyon 0.5 çay kaşığı | Ayçiçek yağı 4 yemek kaşığı,1. Patatesleri haşlayıp ezerek baharat ve yumurtayla karıştırın. || 2. Karışımdan küçük parçalar alıp yassı şekil verin. || 3. Maakoudaları tavada iki yüzü kızarana kadar pişirin.,Patates karışımını şekil vermeden önce 10 dakika soğutmak kızartırken dağılmayı azaltır.,Limon ve acı sosla sıcak servis edin.
mac-and-cheese,Mac and Cheese,makarna-pilav,YEMEK,us,0,Dirsek makarna 400 gr | Süt 2 su bardağı | Tereyağı 2 yemek kaşığı | Un 2 yemek kaşığı | Cheddar peyniri 2 su bardağı | Ekmek kırıntısı 0.5 su bardağı,"1. Makarnayı 8 dakika haşlayıp süzün. || 2. Tereyağı, un ve sütle sos hazırlayın. || 3. Peyniri ekleyip makarnayla karıştırın.",Peyniri sos ocaktan inince ekleyin; yüksek ısı peynirin yağını ayırır.,Fırınlanmış ekmek kırıntısıyla servis edin.
macar-gulasi,Macar Gulaşı,et-yemekleri,YEMEK,hu,0,Dana eti 800 gr | Soğan 2 adet | Patates 3 adet | Domates salçası 1 yemek kaşığı | Tatlı kırmızı biber 2 yemek kaşığı | Et suyu 5 su bardağı | Ekşi krema 0.5 su bardağı,1. Soğanı ve dana etini tencerede 10 dakika kavurun. || 2. Salça ve kırmızı biberi ekleyip 1 dakika çevirin. || 3. Et suyu ve patatesi ekleyip 80-90 dakika kısık ateşte pişirin.,Kırmızı biberi ekledikten sonra yakmadan hızlıca suyu ekleyin; acılaşma olmaz.,Ekşi krema ve kıyılmış maydanozla servis edin.
madartej,Madártej,tatlilar,TATLI,hu,0,Süt 1 lt | Yumurta 4 adet | Toz şeker 0.75 su bardağı | Vanilya 1 çay kaşığı,1. Yumurta aklarını ayırıp şekerin yarısıyla sert köpük yapın. || 2. Sütü vanilyayla ısıtıp bezeleri kısa süre pişirin. || 3. Yumurta sarıları ve kalan şekerle muhallebi hazırlayın. || 4. Madárteji soğutup bezelerle servis edin.,Beze parçalarını sütte uzun tutmamak formunun sönmesini önler.,Tatlıyı buzdolabında en az 2 saat soğutup kaselerde servis edin.
