slug,type,prep,cook,total,gap,timerSum,sample
cevizli-sucuk,TATLI,60,25,2965,2880,2905,"Cevizleri sağlam ipe aralıklı dizin."
kars-piti-nohutlu,YEMEK,25,150,805,630,630,"Nohudu geceden bol suda ıslatın."
soya-sutu-cin-usulu,ICECEK,10,20,510,480,480,"Soya fasulyesini bol suda 8 saat ıslatın."
elazig-lobik-corbasi,CORBA,15,70,565,480,547,"Börülce ve buğdayı geceden ayrı kaplarda ıslatın."
lahore-nihari,YEMEK,30,300,610,280,300,"Soğanı tereyağı içinde 12 dakika koyu altın renk olana kadar kavurun."
lahor-nihari-kuzu-incik,YEMEK,25,240,490,225,238,"Ghee içinde zencefil ve sarımsağı 2 dakika kokulandırın."
konya-ev-tipi-firin-kebabi,YEMEK,15,210,420,195,195,"Kuzu kolu iri parçalara ayırıp tuz ve karabiberle ovun."
rebujito-granita-ispanya-usulu,ICECEK,10,0,190,180,180,"Beyaz şarap ve limonatayı karıştırın."
kayseri-poc,YEMEK,15,180,365,170,185,"Domates, biber, sarımsak ve tuzla fırın kabına alın."
mardin-kaburga-dolmasi,YEMEK,50,180,395,165,165,"Pirinç, badem, soğan ve baharatlarla yarı pişmiş iç pilav hazırlayın."
konya-firin-kebabi-kuzu,YEMEK,10,180,340,150,170,"Kuzu etlerini büyük parçalara ayırıp tuzla ovun."
boeuf-bourguignon,YEMEK,35,150,335,150,170,"Dana etini iri parçalara ayırıp kağıt havluyla kurulayın."
caracas-asado-negro,YEMEK,30,170,340,140,159,"Dana nuarı tuz, karabiber ve kimyonla ovun."
sakizli-incir-parfe-cesme-usulu,TATLI,14,0,139,125,127,"Krema ve labneyi soğuk kapta 2 dakika çırpın, parfe akmasın."
bolonya-lazanya-ragu,YEMEK,45,150,320,125,153,"Soğan, havuç, kereviz ve pancettayı 8 dakika kavurun."
nyponsoppa-parfe-isvec-usulu,TATLI,15,0,135,120,127,"Krema ve şekeri 2 dakika yumuşak kıvamda çırpın."
tinto-limon-slush-ispanya-usulu,ICECEK,5,0,125,120,140,"Şarap ve limonatayı karıştırın."
varshova-bigos,YEMEK,25,150,295,120,134,"Dana etini tencerede 8 dakika mühürleyin."
thai-milk-tea-granita-tay-usulu,ICECEK,10,5,135,120,125,"Thai tea yaprağını siyah çayla 5 dakika demleyip süzün."
