recipeSlug,recipeTitle,affectedSteps,totalSteps,sample
ponzu-sos,"Ponzu Sos",2,5,"Ponzu Sosu fazla koyu kalırsa birkaç damla su ekleyip yeniden çırpın."
tonkatsu-sos,"Tonkatsu Sos",2,5,"Tonkatsu Sosu fazla koyu kalırsa birkaç damla su ekleyip yeniden çırpın."
karalahanali-pirincli-tava-giresun-usulu,"Giresun Karalahanalı Pirinçli Tava",2,5,"Giresun Karalahanalı Pirinçli Tava için lahanayı ince doğrayın."
karalahanali-barbunya-diblesi-giresun-usulu,"Karalahanalı Barbunya Diblesi",2,6,"Karalahanalı Barbunya Diblesi için soğanı kısa çevirin."
kekikli-nohutlu-pilav-mersin-usulu,"Kekikli Nohutlu Pilav",2,5,"Kekikli Nohutlu Pilav için pirinci yıkayın."
pea-and-mint-soup-ingiliz-yaz-usulu,"Pea and Mint Soup",2,5,"Soğanı orta ateşte 4 dakika çevirin, pea and mint soup tabanı çiğ kalmasın."
pirasali-patates-bulyon-ingiltere-usulu,"Pırasalı Patates Bulyon",2,5,"Pırasayı orta ateşte 4 dakika çevirin, pırasalı patates bulyon için ölçü şaşmasın."
raita-sos,"Raita Sos",2,5,"Raita Sosu fazla koyu kalırsa birkaç damla su ekleyip yeniden çırpın."
sweet-corn-chowder-amerikan-usulu,"Sweet Corn Chowder",2,7,"Soğanı orta ateşte 4 dakika çevirin, sweet corn chowder tabanı çiğ kalmasın."
harissa-yogurt-sos,"Harissa Yoğurt Sos",2,5,"Harissa Yoğurt Sosu fazla koyu kalırsa birkaç damla su ekleyip yeniden çırpın."
laz-otlu-tava-boregi-artvin-usulu,"Laz Otlu Tava Böreği",2,5,"İç harcı karıştırın, Laz Otlu Tava Böreği için hazır tutun."
susurluk-ayran-asi-balikesir-usulu,"Balıkesir Susurluk Ayran Aşı",2,7,"Yoğurt ve suyu pürüzsüz çırpın, balıkesir susurluk ayran aşı için ölçü şaşmasın."
mercimekli-domatesli-shorba-hindistan-usulu,"Mercimekli Domatesli Shorba",2,5,"Yarım çay kaşığı kimyonu 30 saniye yağda çevirin, mercimekli domatesli shorba için ölçü şaşmasın."
osso-buco,"Osso Buco",1,7,"Osso bucoyu 120 dakika çok kısık ateşte pişirin, et kemiğinden ayrılacak kadar yumuşasın."
atom-sos,"Atom Sos",1,4,"Atom sosu buzdolabında 15 dakika dinlendirip soğuk kullanın."
